stop_frisk_id,stop_frisk_date,stop_frisk_time,year2,month2,day2,stop_was_initiated,record_status_code,issuing_officer_rank,issuing_officer_command_code,supervising_officer_rank,supervising_officer_command_code,supervising_action_corresponding_activity_log_entry_reviewed,location_in_out_code,jurisdiction_code,jurisdiction_description,observed_duration_minutes,suspected_crime_description,stop_duration_minutes,officer_explained_stop_flag,officer_not_explained_stop_description,other_person_stopped_flag,suspect_arrested_flag,suspect_arrest_offense,summons_issued_flag,summons_offense_description,officer_in_uniform_flag,id_card_identifies_officer_flag,shield_identifies_officer_flag,verbal_identifies_officer_flag,frisked_flag,searched_flag,other_contraband_flag,firearm_flag,knife_cutter_flag,other_weapon_flag,weapon_found_flag,physical_force_cew_flag,physical_force_draw_point_firearm_flag,physical_force_handcuff_suspect_flag,physical_force_oc_spray_used_flag,physical_force_other_flag,physical_force_restraint_used_flag,physical_force_verbal_instruction_flag,physical_force_weapon_impact_flag,backround_circumstances_violent_crime_flag,backround_circumstances_suspect_known_to_carry_weapon_flag,suspects_actions_casing_flag,suspects_actions_concealed_possession_weapon_flag,suspects_actions_decription_flag,suspects_actions_drug_transactions_flag,suspects_actions_identify_crime_pattern_flag,suspects_actions_lookout_flag,suspects_actions_other_flag,suspects_actions_proximity_to_scene_flag,search_basis_admission_flag,search_basis_consent_flag,search_basis_hard_object_flag,search_basis_incidental_to_arrest_flag,search_basis_other_flag,search_basis_outline_flag,demeanor_code,demeanor_of_person_stopped,suspect_reported_age,suspect_sex,suspect_race_description,suspect_height,suspect_weight,suspect_body_build_type,suspect_eye_color,suspect_hair_color,suspect_other_description,stop_location_precinct,stop_location_sector_code,stop_location_apartment,stop_location_full_address,stop_location_premises_name,stop_location_street_name,stop_location_x,stop_location_y,stop_location_zip_code,stop_location_patrol_boro_name,stop_location_boro_name,stop_id_anony,ask_for_consent_flg,consent_given_flg,stop_id
2017073010244,2017-12-02,1899-12-31 04:12:00,2017,December,Saturday,Based on C/W on Scene,APP,POM,073,SGT,073,Y,O,P,PSB,1,CPW,1,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),Y,Y,(null),(null),Y,(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,CPW,(null),MALE,BLACK,6.2,250,HEA,BLK,BLK,(null),73,A,(null),31 TRUXTON STREET,(null),TRUXTON STREET,1009710,186436,(null),PBBN,BROOKLYN,NA,NA,NA,NA
NA,2019-12-22,1899-12-31 17:31:00,2019,December,Sunday,Based on Radio Run,APP,POM,870,SGT,870,NA,S,T,Transit,1,CPW,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),DE,IRRITATED,22,MALE,BLACK,5.8,150,THN,BRO,BLK,ARMY GREEN JACKET,73,A,(null),SACKMAN STREET && TRUXTON STREET,NA,SACKMAN STREET,1010287,186518,(null),PBBN,BROOKLYN,8335,Y,Y,NA
3838,2018-05-03,1899-12-31 10:05:00,2018,May,Thursday,Based on Self Initiated,APP,POM,863,SGT,863,Y,S,T,Transit,1,CPW,16,Y,(null),N,Y,CPW,N,(null),N,(null),S,V,Y,Y,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),Y,Y,(null),(null),DE,COOPERATIVE AND CALM,46,MALE,WHITE HISPANIC,5.1100000000000003,170,MED,BRO,BLK,EYEGLASSES,1,C,(null),FULTON STREET && BROADWAY,(null),FULTON STREET,981738,198272,(null),PBMS,MANHATTAN,NA,NA,NA,NA
NA,2021-03-02,21:35:00,2021,March,Tuesday,Based on Radio Run,APP,POM,073,SGT,073,N,I,P,PSB,1,CPW,3,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,GOOD,18,MALE,BLACK,6.1,150,THN,BRO,BLK,(null),073,B,2,1293 E NEW YORK AVE,NA,E NEW YORK AVE,1006564,182876,NA,PBBN,BROOKLYN,NA,Y,Y,1260
2334,2018-03-20,1899-12-31 14:15:00,2018,March,Tuesday,Based on Radio Run,APP,POM,9,SGT,9,Y,(null),P,PSB,1420,OTHER,5,Y,(null),Y,N,(null),N,(null),N,I,(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,COOPERATIVE,25,MALE,BLACK,5.7,190,MED,BLK,BLK,(null),9,C,(null),724 BROADWAY,(null),BROADWAY,986060,204987,(null),PBMS,MANHATTAN,NA,NA,NA,NA
NA,2019-06-14,1899-12-31 13:08:00,2019,June,Friday,Based on Self Initiated,APP,POM,76,LT,76,NA,(null),(null),(null),1,OTHER,4,Y,(null),Y,N,(null),N,(null),N,(null),S,(null),N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),Y,(null),DE,CALM,50,FEMALE,WHITE HISPANIC,5.8,225,HEA,BRO,BRO,(null),76,D,(null),LORRAINE STREET && COLUMBIA STREET,NA,LORRAINE STREET,982111,185061,(null),PBBS,BROOKLYN,8898,Y,Y,NA
NA,2021-02-26,19:23:00,2021,February,Friday,Based on Radio Run,APP,POF,112,LT,112,Y,O,P,PSB,2,PETIT LARCENY,8,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,(null),(null),(null),N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),DE,CALM,56,MALE,BLACK,5.9,160,MED,BRO,BLD,(null),112,C,(null),108 STREET && HORACE HARDING EXPRESSWAY,NA,108 STREET,1025419,202485,NA,PBQN,QUEENS,NA,N,N,1240
2017066010025,2017-04-13,1899-12-31 23:00:00,2017,April,Thursday,Based on Self Initiated,APP,POM,066,SGT,066,Y,(null),P,PSB,3,UNAUTHORIZED USE OF A VEHICLE,7,Y,(null),N,Y,UNAUTHORIZED USE OF A VEHICLE,N,(null),N,(null),S,V,Y,Y,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),CM,UNAUTHORIZED USE OF A VEHICLE,18,MALE,BLACK HISPANIC,5.4,120,THN,BLK,BLK,N/A,66,I,(null),1138 50 STREET,(null),50 STREET,985311,171191,(null),PBBS,BROOKLYN,NA,NA,NA,NA
NA,2019-07-09,1899-12-31 15:44:00,2019,July,Tuesday,Based on Self Initiated,APP,POM,75,SGT,75,NA,(null),(null),(null),2,CPSP,4,Y,(null),N,N,(null),N,(null),N,(null),S,V,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CALM,16,MALE,BLACK,5.7,140,THN,BRO,BLK,(null),75,C,(null),BELMONT AVENUE && LINCOLN AVENUE,NA,BELMONT AVENUE,1021145,185152,(null),PBBN,BROOKLYN,8649,N,N,NA
NA,2019-07-16,1899-12-31 01:56:00,2019,July,Tuesday,Based on Radio Run,APP,POM,105,SGT,105,NA,O,(null),(null),1,BURGLARY,17,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,CALM,18,MALE,BLACK HISPANIC,5.8,175,MED,BRO,BLK,(null),105,E,(null),256-11 87 AVENUE,NA,87 AVENUE,1064703,205726,(null),PBQS,QUEENS,11315,N,N,NA
